chr,start,end,gene_ID,exon_number,strand,gene_name,isoforms
chr3R,13238057,13238199,FBgn0000024,6,-,Ace,1
chr3R,13237129,13237278,FBgn0000024,7,-,Ace,1
chr3R,13232961,13233124,FBgn0000024,8,-,Ace,1
chr3R,13232679,13232842,FBgn0000024,9,-,Ace,1
chr3R,13222951,13223378,FBgn0000024,10,-,Ace,1
chrX,15378189,15379064,FBgn0000028,1,-,acj6,1
chrX,15371512,15371688,FBgn0000028,2,-,acj6,1
chrX,15354755,15354953,FBgn0000028,3,-,acj6,1
chrX,15354536,15354676,FBgn0000028,4,-,acj6,1
chrX,15354227,15354458,FBgn0000028,5,-,acj6,1
chrX,15353225,15353388,FBgn0000028,6,-,acj6,1
chrX,15352334,15353167,FBgn0000028,7,-,acj6,1
chrX,15350239,15351958,FBgn0000028,8,-,acj6,1
chr3R,29993262,29993411,FBgn0000032,1,-,Acph-1,1
chr3R,29992986,29993181,FBgn0000032,2,-,Acph-1,1
chr3R,29992829,29992927,FBgn0000032,3,-,Acph-1,1
chr3R,29992083,29992772,FBgn0000032,4,-,Acph-1,1
chr3R,29991754,29992012,FBgn0000032,5,-,Acph-1,1
chr3R,29991144,29991693,FBgn0000032,6,-,Acph-1,1
chr3R,24456435,24457157,FBgn0000036,1,-,nAChRalpha1,1
chr3R,24451895,24452633,FBgn0000036,2,-,nAChRalpha1,1
chr3R,24421695,24421904,FBgn0000036,3,-,nAChRalpha1,1
chr3R,24414847,24414891,FBgn0000036,4,-,nAChRalpha1,1
chr3R,24412508,24412617,FBgn0000036,5,-,nAChRalpha1,1
chr3R,24407318,24407498,FBgn0000036,6,-,nAChRalpha1,1
chr3R,24404969,24405429,FBgn0000036,7,-,nAChRalpha1,1
chr3R,24404682,24404893,FBgn0000036,8,-,nAChRalpha1,1
chr3R,24403215,24403510,FBgn0000036,9,-,nAChRalpha1,1
chr3R,24393896,24401945,FBgn0000036,10,-,nAChRalpha1,1
chr2R,24389598,24390294,FBgn0000037,1,-,mAChR-A,1
chr2R,24383924,24385048,FBgn0000037,2,-,mAChR-A,1
chr2R,24383436,24383619,FBgn0000037,3,-,mAChR-A,1
chr2R,24383241,24383377,FBgn0000037,4,-,mAChR-A,1
chr2R,24378630,24381856,FBgn0000037,5,-,mAChR-A,1
chr3L,4429349,4429502,FBgn0000038,1,+,nAChRbeta1,1
chr3L,4429566,4429715,FBgn0000038,2,+,nAChRbeta1,1
chr3L,4432386,4432522,FBgn0000038,3,+,nAChRbeta1,1
chr3L,4433305,4433459,FBgn0000038,4,+,nAChRbeta1,1
chr3L,4433615,4434059,FBgn0000038,5,+,nAChRbeta1,1
chr3L,4434490,4435089,FBgn0000038,6,+,nAChRbeta1,1
chr3L,4435175,4435993,FBgn0000038,7,+,nAChRbeta1,1
chr3R,24485428,24486200,FBgn0000039,1,+,nAChRalpha2,1
chr3R,24487131,24487285,FBgn0000039,2,+,nAChRalpha2,1
chr3R,24487423,24487603,FBgn0000039,3,+,nAChRalpha2,1
chr3R,24488452,24488611,FBgn0000039,4,+,nAChRalpha2,1
chr3R,24488781,24489366,FBgn0000039,5,+,nAChRalpha2,1
chr3R,24489599,24489800,FBgn0000039,6,+,nAChRalpha2,1
chr3R,24490818,24491147,FBgn0000039,7,+,nAChRalpha2,1
chrX,5900861,5901013,FBgn0000042,1,+,Act5C,1
chrX,5902690,5905399,FBgn0000042,2,+,Act5C,1
chr2R,6015577,6015689,FBgn0000043,1,-,Act42A,1
chr2R,6013910,6015422,FBgn0000043,2,-,Act42A,1
chr2R,20944021,20944156,FBgn0000044,1,+,Act57B,1
chr2R,20944844,20946431,FBgn0000044,2,+,Act57B,1
chr3L,21985210,21985248,FBgn0000045,1,+,Act79B,1
chr3L,21985325,21986275,FBgn0000045,2,+,Act79B,1
chr3L,21986638,21987190,FBgn0000045,3,+,Act79B,1
chr3R,13425983,13426042,FBgn0000046,1,+,Act87E,1
chr3R,13426583,13428375,FBgn0000046,2,+,Act87E,1
chr3R,15439969,15440046,FBgn0000047,1,+,Act88F,1
chr3R,15440600,15441540,FBgn0000047,2,+,Act88F,1
chr3R,15441602,15442177,FBgn0000047,3,+,Act88F,1
chr2L,6045921,6046050,FBgn0000052,1,-,ade2,1
chr2L,6044428,6045526,FBgn0000052,2,-,ade2,1
chr2L,6042075,6044351,FBgn0000052,3,-,ade2,1
chr2L,6041181,6042011,FBgn0000052,4,-,ade2,1
chr2L,7023529,7023898,FBgn0000053,1,-,ade3,1
chr2L,7019135,7019382,FBgn0000053,2,-,ade3,1
chr2L,7018431,7019080,FBgn0000053,3,-,ade3,1
chr2L,7018149,7018374,FBgn0000053,4,-,ade3,1
chr2L,7017545,7017966,FBgn0000053,5,-,ade3,1
chr2L,7016437,7017486,FBgn0000053,6,-,ade3,1
chr2L,7014623,7016374,FBgn0000053,7,-,ade3,1
chr2R,6662265,6662436,FBgn0000054,1,+,Adf1,1
chr2R,6662569,6662757,FBgn0000054,2,+,Adf1,1
chr2R,6666720,6667013,FBgn0000054,3,+,Adf1,1
chr2R,6667073,6668085,FBgn0000054,4,+,Adf1,1
chr2L,14615552,14615643,FBgn0000055,1,+,Adh,1
chr2L,14616303,14616437,FBgn0000055,2,+,Adh,1
chr2L,14616503,14616907,FBgn0000055,3,+,Adh,1
chr2L,14616978,14617643,FBgn0000055,4,+,Adh,1
chr2L,14618070,14618474,FBgn0000055,5,+,Adh,1
chr2L,14618526,14618902,FBgn0000055,6,+,Adh,1
chr2L,14615552,14615643,FBgn0000056,1,+,Adhr,1
chr2L,14616303,14616437,FBgn0000056,2,+,Adhr,1
chr2L,14616503,14616907,FBgn0000056,3,+,Adhr,1
chr2L,14616978,14617643,FBgn0000056,4,+,Adhr,1
chr2L,14618070,14618474,FBgn0000056,5,+,Adhr,1
chr2L,14618526,14618902,FBgn0000056,6,+,Adhr,1
chr2R,18151704,18152641,FBgn0000057,1,+,adp,1
chr2R,18152708,18154060,FBgn0000057,2,+,adp,1
chr2L,378112,378481,FBgn0000061,1,+,al,1
chr2L,384511,384894,FBgn0000061,2,+,al,1
chr2L,385701,385746,FBgn0000061,3,+,al,1
chr2L,386308,386576,FBgn0000061,4,+,al,1
chr2L,386703,387439,FBgn0000061,5,+,al,1
chr3R,17671271,17671567,FBgn0000063,1,+,Mps1,1
chr3R,17671850,17672857,FBgn0000063,2,+,Mps1,1
chr3R,17672921,17673476,FBgn0000063,3,+,Mps1,1
chr3R,17673577,17673828,FBgn0000063,4,+,Mps1,1
chr3R,26261336,26261591,FBgn0000064,1,-,Ald,1
chr3R,26257225,26258041,FBgn0000064,2,-,Ald,1
chr3R,26256933,26257132,FBgn0000064,3,-,Ald,1
chr3R,26254069,26255431,FBgn0000064,4,-,Ald,1
chr3R,6762593,6762996,FBgn0000071,1,+,Ama,1
chr3R,6763833,6765261,FBgn0000071,2,+,Ama,1
chr2L,19110154,19110350,FBgn0000075,1,+,amd,1
chr2L,19110412,19110646,FBgn0000075,2,+,amd,1
chr2L,19112794,19114110,FBgn0000075,3,+,amd,1
chrX,9245915,9247336,FBgn0000077,1,-,amx,1
chr2R,17124764,17126369,FBgn0000078,1,+,Amy-d,1
chr2R,17118636,17120303,FBgn0000079,1,-,Amy-p,1
chr3R,21065241,21065285,FBgn0000083,1,+,AnxB9,1
chr3R,21067446,21067499,FBgn0000083,2,+,AnxB9,1
chr3R,21068069,21068777,FBgn0000083,3,+,AnxB9,1
chr3R,21068838,21069019,FBgn0000083,4,+,AnxB9,1
chr3R,21070724,21070917,FBgn0000083,5,+,AnxB9,1
chrX,20173369,20173514,FBgn0000084,1,-,AnxB10,1
chrX,20172305,20173016,FBgn0000084,2,-,AnxB10,1
chrX,20172041,20172222,FBgn0000084,3,-,AnxB10,1
chrX,20171445,20171648,FBgn0000084,4,-,AnxB10,1
chrX,2693733,2693886,FBgn0000092,1,-,CG2650,1
chrX,2693156,2693648,FBgn0000092,2,-,CG2650,1
chrX,2692732,2693097,FBgn0000092,3,-,CG2650,1
chr3R,30209948,30210080,FBgn0000094,1,+,Anp,1
chr3R,30210143,30210382,FBgn0000094,2,+,Anp,1
chr2L,2161010,2161527,FBgn0000097,1,-,aop,1
chr2L,2159312,2160582,FBgn0000097,2,-,aop,1
chr2L,2158468,2159245,FBgn0000097,3,-,aop,1
chr2L,2156792,2158405,FBgn0000097,4,-,aop,1
chr2R,5727454,5727525,FBgn0000099,1,-,ap,1
chr2R,5717555,5717763,FBgn0000099,2,-,ap,1
chr2R,5717282,5717498,FBgn0000099,3,-,ap,1
chr2R,5716649,5716788,FBgn0000099,4,-,ap,1
chr2R,5708926,5709099,FBgn0000099,5,-,ap,1
chr2R,5708611,5708867,FBgn0000099,6,-,ap,1
chr2R,5708183,5708379,FBgn0000099,7,-,ap,1
chr2R,5707224,5708106,FBgn0000099,8,-,ap,1
chr3L,22075867,22075926,FBgn0000100,1,+,RpLP0,1
chr3L,22076035,22076136,FBgn0000100,2,+,RpLP0,1
chr3L,22076248,22076341,FBgn0000100,3,+,RpLP0,1
chr3L,22076416,22077487,FBgn0000100,4,+,RpLP0,1
chrX,530501,530534,FBgn0000108,1,+,Appl,1
chrX,531627,531876,FBgn0000108,2,+,Appl,1
chrX,560606,560776,FBgn0000108,3,+,Appl,1
chrX,570862,571000,FBgn0000108,4,+,Appl,1
chrX,571131,571352,FBgn0000108,5,+,Appl,1
chrX,571427,572070,FBgn0000108,6,+,Appl,1
chrX,572137,572289,FBgn0000108,7,+,Appl,1
chrX,573865,574002,FBgn0000108,8,+,Appl,1
chrX,574196,574878,FBgn0000108,9,+,Appl,1
chrX,574942,575089,FBgn0000108,10,+,Appl,1
chrX,575168,575350,FBgn0000108,11,+,Appl,1
chrX,575471,578130,FBgn0000108,12,+,Appl,1
chr3L,1884691,1884892,FBgn0000109,1,-,Aprt,1
chr3L,1884323,1884560,FBgn0000109,2,-,Aprt,1
chr3L,1883892,1884248,FBgn0000109,3,-,Aprt,1
chr2L,12175004,12175420,FBgn0000114,1,+,bru1,1
chr2L,12271591,12272084,FBgn0000114,2,+,bru1,1
chr2L,12278837,12278919,FBgn0000114,3,+,bru1,1
chr2L,12282514,12282562,FBgn0000114,4,+,bru1,1
chr2L,12298568,12298749,FBgn0000114,5,+,bru1,1
chr2L,12298814,12299111,FBgn0000114,6,+,bru1,1
chr2L,12299188,12299394,FBgn0000114,7,+,bru1,1
chr2L,12304446,12304595,FBgn0000114,8,+,bru1,1
chr2L,12310682,12312311,FBgn0000114,9,+,bru1,1
chr3L,15983135,15983280,FBgn0000115,1,+,Arl1,1
chr3L,15983378,15983594,FBgn0000115,2,+,Arl1,1
chr3L,15983863,15984362,FBgn0000115,3,+,Arl1,1
chr3L,9065708,9066027,FBgn0000116,1,-,Argk,1
chr3L,9064464,9064517,FBgn0000116,2,-,Argk,1
chr3L,9048880,9050359,FBgn0000116,3,-,Argk,1
chrX,1900044,1900173,FBgn0000117,1,-,arm,1
chrX,1898980,1899039,FBgn0000117,2,-,arm,1
chrX,1895114,1896753,FBgn0000117,3,-,arm,1
chrX,1894841,1895041,FBgn0000117,4,-,arm,1
chrX,1894508,1894780,FBgn0000117,5,-,arm,1
chrX,1893403,1893499,FBgn0000117,6,-,arm,1
chrX,1891401,1892119,FBgn0000117,7,-,arm,1
chr2R,13483155,13483229,FBgn0000119,1,-,arr,1
chr2R,13481776,13482084,FBgn0000119,2,-,arr,1
chr2R,13456536,13459525,FBgn0000119,3,-,arr,1
chr2R,13456316,13456473,FBgn0000119,4,-,arr,1
chr2R,13455983,13456252,FBgn0000119,5,-,arr,1
chr2R,13455296,13455920,FBgn0000119,6,-,arr,1
chr2R,13453640,13455236,FBgn0000119,7,-,arr,1
chr2L,18078269,18078496,FBgn0000120,1,+,Arr1,1
chr2L,18078916,18079723,FBgn0000120,2,+,Arr1,1
chr2L,18079957,18080086,FBgn0000120,3,+,Arr1,1
chr2L,18080147,18081307,FBgn0000120,4,+,Arr1,1
chr3L,8647970,8648936,FBgn0000121,1,-,Arr2,1
chr3L,8647708,8647902,FBgn0000121,2,-,Arr2,1
chr3L,8647261,8647645,FBgn0000121,3,-,Arr2,1
chrX,460747,463176,FBgn0000137,1,+,ase,1
chr3R,24650125,24650344,FBgn0000139,1,+,ash2,1
chr3R,24650405,24650589,FBgn0000139,2,+,ash2,1
chr3R,24650650,24650994,FBgn0000139,3,+,ash2,1
chr3R,24651861,24652241,FBgn0000139,4,+,ash2,1
chr3R,24652310,24652590,FBgn0000139,5,+,ash2,1
chr3R,24652782,24653039,FBgn0000139,6,+,ash2,1
chr3R,24653098,24653376,FBgn0000139,7,+,ash2,1
chr3R,24753849,24754055,FBgn0000140,1,+,asp,1
chr3R,24754128,24754304,FBgn0000140,2,+,asp,1
chr3R,24754357,24754569,FBgn0000140,3,+,asp,1
chr3R,24754649,24759530,FBgn0000140,4,+,asp,1
chr3R,24759591,24759892,FBgn0000140,5,+,asp,1
chr3R,24759957,24760513,FBgn0000140,6,+,asp,1
chr2L,11001270,11001476,FBgn0000146,1,-,aub,1
chr2L,11000786,11000918,FBgn0000146,2,-,aub,1
chr2L,11000165,11000658,FBgn0000146,3,-,aub,1
chr2L,10999914,11000106,FBgn0000146,4,-,aub,1
chr2L,10999727,10999854,FBgn0000146,5,-,aub,1
chr2L,10999518,10999672,FBgn0000146,6,-,aub,1
chr2L,10999061,10999450,FBgn0000146,7,-,aub,1
chr2L,10998897,10999007,FBgn0000146,8,-,aub,1
chr2L,10997819,10998832,FBgn0000146,9,-,aub,1
chr3R,11963124,11963405,FBgn0000147,1,+,aurA,1
chr3R,11963470,11963770,FBgn0000147,2,+,aurA,1
chr3R,11963833,11964826,FBgn0000147,3,+,aurA,1
chr3R,31745770,31746077,FBgn0000150,1,-,awd,1
chr3R,31745172,31745590,FBgn0000150,2,-,awd,1
chrX,16683422,16683895,FBgn0000152,1,-,Axs,1
chrX,16683209,16683357,FBgn0000152,2,-,Axs,1
chrX,16683027,16683133,FBgn0000152,3,-,Axs,1
chrX,16682201,16682471,FBgn0000152,4,-,Axs,1
chrX,16681910,16682122,FBgn0000152,5,-,Axs,1
chrX,16680601,16681571,FBgn0000152,6,-,Axs,1
chrX,16680364,16680540,FBgn0000152,7,-,Axs,1
chrX,16680089,16680301,FBgn0000152,8,-,Axs,1
chr2L,13821248,13822148,FBgn0000153,1,+,b,1
chr2L,13822682,13823049,FBgn0000153,2,+,b,1
chr2L,13823114,13823870,FBgn0000153,3,+,b,1
chr2R,24814822,24815567,FBgn0000157,1,+,Dll,1
chr2R,24817594,24817769,FBgn0000157,2,+,Dll,1
chr2R,24819814,24820007,FBgn0000157,3,+,Dll,1
chr2R,24833409,24833730,FBgn0000157,4,+,Dll,1
chr2R,24833797,24834602,FBgn0000157,5,+,Dll,1
chr3R,25244489,25245057,FBgn0000158,1,-,bam,1
chr3R,25244054,25244424,FBgn0000158,2,-,bam,1
chr3R,25243039,25243992,FBgn0000158,3,-,bam,1
chrX,17160006,17161191,FBgn0000163,1,+,baz,1
chrX,17188992,17190686,FBgn0000163,2,+,baz,1
chrX,17190755,17191377,FBgn0000163,3,+,baz,1
chrX,17191439,17191720,FBgn0000163,4,+,baz,1
chrX,17191788,17192461,FBgn0000163,5,+,baz,1
chrX,17192531,17193035,FBgn0000163,6,+,baz,1
chrX,17193899,17200705,FBgn0000163,7,+,baz,1
chr3R,6759107,6759466,FBgn0000166,1,-,bcd,1
chr3R,6755842,6756960,FBgn0000166,2,-,bcd,1
chrX,13996657,13996755,FBgn0000173,1,+,ben,1
chrX,13998095,13999805,FBgn0000173,2,+,ben,1
chrX,4413462,4413899,FBgn0000179,1,+,bi,1
chrX,4428198,4429498,FBgn0000179,2,+,bi,1
chrX,4450688,4450801,FBgn0000179,3,+,bi,1
chrX,4450877,4451039,FBgn0000179,4,+,bi,1
chrX,4478148,4478294,FBgn0000179,5,+,bi,1
chrX,4478354,4478430,FBgn0000179,6,+,bi,1
chrX,4482140,4482384,FBgn0000179,7,+,bi,1
chrX,4482517,4484452,FBgn0000179,8,+,bi,1
chr2L,9984645,9985146,FBgn0000180,1,+,bib,1
chr2L,9986789,9986955,FBgn0000180,2,+,bib,1
chr2L,9987601,9987727,FBgn0000180,3,+,bib,1
chr2L,9992255,9992462,FBgn0000180,4,+,bib,1
chr2L,9993267,9995538,FBgn0000180,5,+,bib,1
chr2R,12870249,12870330,FBgn0000181,1,+,bic,1
chr2R,12870403,12871794,FBgn0000181,2,+,bic,1
chr2L,16042047,16042527,FBgn0000182,1,+,BicC,1
chr2L,16043075,16043245,FBgn0000182,2,+,BicC,1
chr2L,16043824,16044361,FBgn0000182,3,+,BicC,1
chr2L,16044423,16044472,FBgn0000182,4,+,BicC,1
chr2L,16044788,16044857,FBgn0000182,5,+,BicC,1
chr2L,16044921,16045000,FBgn0000182,6,+,BicC,1
chr2L,16045066,16045392,FBgn0000182,7,+,BicC,1
chr2L,16045841,16045966,FBgn0000182,8,+,BicC,1
chr2L,16046027,16046408,FBgn0000182,9,+,BicC,1
chr2L,16046602,16047729,FBgn0000182,10,+,BicC,1
chr2L,16047958,16048626,FBgn0000182,11,+,BicC,1
chr2L,17472097,17473215,FBgn0000183,1,-,BicD,1
chr2L,17464190,17464555,FBgn0000183,2,-,BicD,1
chr2L,17463988,17464125,FBgn0000183,3,-,BicD,1
chr2L,17463032,17463882,FBgn0000183,4,-,BicD,1
chr2L,17462738,17462955,FBgn0000183,5,-,BicD,1
chr2L,17462429,17462683,FBgn0000183,6,-,BicD,1
chr2L,17462168,17462342,FBgn0000183,7,-,BicD,1
chr2L,17459605,17461843,FBgn0000183,8,-,BicD,1
chr3R,25961994,25962043,FBgn0000206,1,+,boss,1
chr3R,25963442,25963615,FBgn0000206,2,+,boss,1
chr3R,25963919,25964389,FBgn0000206,3,+,boss,1
chr3R,25964449,25964898,FBgn0000206,4,+,boss,1
chr3R,25965020,25966479,FBgn0000206,5,+,boss,1
chr3R,25966541,25966948,FBgn0000206,6,+,boss,1
chrX,1575132,1575721,FBgn0000210,1,+,br,1
chrX,1624138,1624707,FBgn0000210,2,+,br,1
chrX,1635832,1636020,FBgn0000210,3,+,br,1
chrX,1636096,1636549,FBgn0000210,4,+,br,1
chrX,1636639,1636912,FBgn0000210,5,+,br,1
chrX,1637000,1637139,FBgn0000210,6,+,br,1
chrX,1637284,1637334,FBgn0000210,7,+,br,1
chrX,1642885,1645162,FBgn0000210,8,+,br,1
chr3L,15982803,15982869,FBgn0000212,1,-,brm,1
chr3L,15982268,15982568,FBgn0000212,2,-,brm,1
chr3L,15982123,15982199,FBgn0000212,3,-,brm,1
chr3L,15975226,15975249,FBgn0000212,4,-,brm,1
chr3L,15972159,15975096,FBgn0000212,5,-,brm,1
chr3L,15971294,15972085,FBgn0000212,6,-,brm,1
chr3L,15970082,15971233,FBgn0000212,7,-,brm,1
chr3L,14972667,14973198,FBgn0000216,1,+,Brd,1
chrX,4104342,4105791,FBgn0000221,1,+,brn,1
chr2L,4684371,4684461,FBgn0000227,1,-,Bsg25A,1
chr2L,4683052,4684312,FBgn0000227,2,-,Bsg25A,1
chr2L,5277934,5278548,FBgn0000228,1,-,Bsg25D,1
chr2L,5276936,5277180,FBgn0000228,2,-,Bsg25D,1
chr2L,5276512,5276731,FBgn0000228,3,-,Bsg25D,1
chr2L,5276288,5276368,FBgn0000228,4,-,Bsg25D,1
chr2L,5274019,5275780,FBgn0000228,5,-,Bsg25D,1
chr2L,5273161,5273590,FBgn0000228,6,-,Bsg25D,1
chr2L,5272986,5273097,FBgn0000228,7,-,Bsg25D,1
chr2L,5271728,5272928,FBgn0000228,8,-,Bsg25D,1
chr2L,10250281,10250501,FBgn0000229,1,-,bsk,1
chr2L,10249095,10249259,FBgn0000229,2,-,bsk,1
chr2L,10248785,10248914,FBgn0000229,3,-,bsk,1
chr2L,10248525,10248722,FBgn0000229,4,-,bsk,1
chr2L,10248197,10248461,FBgn0000229,5,-,bsk,1
chr2L,10247852,10248135,FBgn0000229,6,-,bsk,1
chr2L,10247502,10247773,FBgn0000229,7,-,bsk,1
chrX,9694186,9695407,FBgn0000233,1,+,btd,1
chrX,9695847,9697558,FBgn0000233,2,+,btd,1
chr2L,21179330,21179683,FBgn0000239,1,-,bur,1
chr2L,21177571,21177678,FBgn0000239,2,-,bur,1
chr2L,21177205,21177509,FBgn0000239,3,-,bur,1
chr2L,21176671,21176971,FBgn0000239,4,-,bur,1
chr2L,21176509,21176605,FBgn0000239,5,-,bur,1
chr2L,21176007,21176376,FBgn0000239,6,-,bur,1
chr2L,21175741,21175933,FBgn0000239,7,-,bur,1
chr2L,21175280,21175681,FBgn0000239,8,-,bur,1
chr2L,21175033,21175224,FBgn0000239,9,-,bur,1
chr2L,21174182,21174975,FBgn0000239,10,-,bur,1
chr2R,23538085,23538499,FBgn0000241,1,-,bw,1
chr2R,23537764,23537996,FBgn0000241,2,-,bw,1
chr2R,23537149,23537707,FBgn0000241,3,-,bw,1
chr2R,23529592,23529626,FBgn0000241,4,-,bw,1
chr2R,23529339,23529533,FBgn0000241,5,-,bw,1
chr2R,23529166,23529271,FBgn0000241,6,-,bw,1
chr2R,23529009,23529110,FBgn0000241,7,-,bw,1
chr2R,23528500,23528956,FBgn0000241,8,-,bw,1
chr2R,23527805,23528440,FBgn0000241,9,-,bw,1
chr3R,9530740,9533011,FBgn0000244,1,-,by,1
chr3R,9528238,9528958,FBgn0000244,2,-,by,1
chr3R,15792543,15792579,FBgn0000246,1,-,c(3)G,1
chr3R,15791934,15792472,FBgn0000246,2,-,c(3)G,1
chr3R,15791656,15791878,FBgn0000246,3,-,c(3)G,1
chr3R,15791402,15791584,FBgn0000246,4,-,c(3)G,1
chr3R,15790956,15791348,FBgn0000246,5,-,c(3)G,1
chr3R,15790380,15790892,FBgn0000246,6,-,c(3)G,1
chr3R,15790240,15790314,FBgn0000246,7,-,c(3)G,1
chr3R,15789948,15790184,FBgn0000246,8,-,c(3)G,1
chr3R,15789473,15789889,FBgn0000246,9,-,c(3)G,1
chr3R,29806811,29807602,FBgn0000247,1,+,ca,1
chr3R,29807805,29808406,FBgn0000247,2,+,ca,1
chr3R,29808469,29809006,FBgn0000247,3,+,ca,1
chr3R,29809289,29809821,FBgn0000247,4,+,ca,1
chr3R,29809893,29810203,FBgn0000247,5,+,ca,1
chr3R,29810266,29810808,FBgn0000247,6,+,ca,1
chr3R,29810864,29811167,FBgn0000247,7,+,ca,1
chr3R,29811227,29811454,FBgn0000247,8,+,ca,1
chr3R,29811515,29811647,FBgn0000247,9,+,ca,1
chr3R,29811708,29811823,FBgn0000247,10,+,ca,1
chr3R,29811884,29812053,FBgn0000247,11,+,ca,1
chr3R,29812107,29812188,FBgn0000247,12,+,ca,1
chr3R,29812256,29812489,FBgn0000247,13,+,ca,1
chr3R,29812546,29812998,FBgn0000247,14,+,ca,1
chr3R,29813061,29815047,FBgn0000247,15,+,ca,1
chr2L,16326021,16326101,FBgn0000250,1,-,cact,1
chr2L,16324333,16325054,FBgn0000250,2,-,cact,1
chr2L,16323340,16323517,FBgn0000250,3,-,cact,1
chr2L,16322960,16323170,FBgn0000250,4,-,cact,1
chr2L,16314770,16314858,FBgn0000250,5,-,cact,1
chr2L,16314451,16314708,FBgn0000250,6,-,cact,1
chr2L,16313097,16313450,FBgn0000250,7,-,cact,1
chr2L,20770731,20771909,FBgn0000251,1,+,cad,1
chr2L,20781799,20783135,FBgn0000251,2,+,cad,1
chr2R,12259398,12259458,FBgn0000253,1,+,Cam,1
chr2R,12260040,12260188,FBgn0000253,2,+,Cam,1
chr2R,12264743,12264917,FBgn0000253,3,+,Cam,1
chr2R,12269193,12269435,FBgn0000253,4,+,Cam,1
chr2R,12273766,12278809,FBgn0000253,5,+,Cam,1
chr2L,3902595,3902860,FBgn0000256,1,-,capu,1
chr2L,3893262,3893604,FBgn0000256,2,-,capu,1
chr2L,3884036,3884518,FBgn0000256,3,-,capu,1
chr2L,3878895,3879067,FBgn0000256,4,-,capu,1
chr2L,3874450,3875302,FBgn0000256,5,-,capu,1
chr2L,3873385,3874395,FBgn0000256,6,-,capu,1
chr2L,3873019,3873322,FBgn0000256,7,-,capu,1
chr2L,3872660,3872947,FBgn0000256,8,-,capu,1
chrX,19566019,19566126,FBgn0000257,1,+,car,1
chrX,19566215,19567784,FBgn0000257,2,+,car,1
chrX,19567907,19569401,FBgn0000257,3,+,car,1
chrX,11792879,11792914,FBgn0000259,1,+,CkIIbeta,1
chrX,11793443,11793518,FBgn0000259,2,+,CkIIbeta,1
chrX,11793798,11793900,FBgn0000259,3,+,CkIIbeta,1
chrX,11793974,11794165,FBgn0000259,4,+,CkIIbeta,1
chrX,11794819,11795008,FBgn0000259,5,+,CkIIbeta,1
chrX,11795105,11795186,FBgn0000259,6,+,CkIIbeta,1
chrX,11795601,11795887,FBgn0000259,7,+,CkIIbeta,1
chr3L,18822604,18822842,FBgn0000261,1,+,Cat,1
chr3L,18826338,18827258,FBgn0000261,2,+,Cat,1
chr3L,18827356,18828188,FBgn0000261,3,+,Cat,1
chr2L,9699115,9699297,FBgn0000273,1,-,Pka-C1,1
