chr,start,end,gene_ID,exon_number,strand,gene_name,isoforms
chr3L,21979738,21980290,FBgn0000045,3,+,Act79B,1
chr3R,9251707,9251764,FBgn0000046,1,+,Act87E,1
chr3R,9252305,9253811,FBgn0000046,2,+,Act87E,1
chr3R,11265710,11265768,FBgn0000047,1,+,Act88F,1
chr3R,11266322,11267262,FBgn0000047,2,+,Act88F,1
chr3R,11267324,11267895,FBgn0000047,3,+,Act88F,1
chr2L,6045921,6045970,FBgn0000052,1,-,ade2,1
chr2L,6044428,6045526,FBgn0000052,2,-,ade2,1
chr2L,6042075,6044351,FBgn0000052,3,-,ade2,1
chr2L,6041178,6042011,FBgn0000052,4,-,ade2,1
chr2L,7023529,7023940,FBgn0000053,1,-,ade3,1
chr2L,7019135,7019382,FBgn0000053,2,-,ade3,1
chr2L,7018431,7019080,FBgn0000053,3,-,ade3,1
chr2L,7018149,7018374,FBgn0000053,4,-,ade3,1
chr2L,7017545,7017966,FBgn0000053,5,-,ade3,1
chr2L,7016437,7017486,FBgn0000053,6,-,ade3,1
chr2L,7014861,7016374,FBgn0000053,7,-,ade3,1
chr2R,2549775,2549953,FBgn0000054,1,+,Adf1,1
chr2R,2550074,2550262,FBgn0000054,2,+,Adf1,1
chr2R,2554225,2554518,FBgn0000054,3,+,Adf1,1
chr2R,2554578,2555590,FBgn0000054,4,+,Adf1,1
chr2L,14615555,14615643,FBgn0000055,1,+,Adh,1
chr2L,14616303,14616437,FBgn0000055,2,+,Adh,1
chr2L,14616503,14616907,FBgn0000055,3,+,Adh,1
chr2L,14616978,14617643,FBgn0000055,4,+,Adh,1
chr2L,14618070,14618474,FBgn0000055,5,+,Adh,1
chr2L,14618526,14618902,FBgn0000055,6,+,Adh,1
chr2L,14615555,14615643,FBgn0000056,1,+,Adhr,1
chr2L,14616303,14616437,FBgn0000056,2,+,Adhr,1
chr2L,14616503,14616907,FBgn0000056,3,+,Adhr,1
chr2L,14616978,14617643,FBgn0000056,4,+,Adhr,1
chr2L,14618070,14618474,FBgn0000056,5,+,Adhr,1
chr2L,14618526,14618902,FBgn0000056,6,+,Adhr,1
chr2R,14039209,14040146,FBgn0000057,1,+,adp,1
chr2R,14040213,14041565,FBgn0000057,2,+,adp,1
chr2L,378112,378481,FBgn0000061,1,+,al,1
chr2L,384511,384894,FBgn0000061,2,+,al,1
chr2L,385701,385746,FBgn0000061,3,+,al,1
chr2L,386308,386576,FBgn0000061,4,+,al,1
chr2L,386703,387439,FBgn0000061,5,+,al,1
chr3R,13496993,13497289,FBgn0000063,1,+,Mps1,1
chr3R,13497572,13498579,FBgn0000063,2,+,Mps1,1
chr3R,13498643,13499198,FBgn0000063,3,+,Mps1,1
chr3R,13499299,13499550,FBgn0000063,4,+,Mps1,1
chr3R,22087058,22087313,FBgn0000064,1,-,Ald,1
chr3R,22082947,22083763,FBgn0000064,2,-,Ald,1
chr3R,22082655,22082854,FBgn0000064,3,-,Ald,1
chr3R,22079791,22081153,FBgn0000064,4,-,Ald,1
chr3R,2588315,2588718,FBgn0000071,1,+,Ama,1
chr3R,2589555,2590983,FBgn0000071,2,+,Ama,1
chr2L,19110159,19110350,FBgn0000075,1,+,amd,1
chr2L,19110412,19110646,FBgn0000075,2,+,amd,1
chr2L,19112794,19114110,FBgn0000075,3,+,amd,1
chrX,9139948,9141369,FBgn0000077,1,-,amx,1
chr2R,13012267,13013887,FBgn0000078,1,+,Amy-d,1
chr2R,13006211,13007808,FBgn0000079,1,-,Amy-p,1
chr3R,16890963,16891123,FBgn0000083,1,+,AnxB9,1
chr3R,16893168,16893221,FBgn0000083,2,+,AnxB9,1
chr3R,16893791,16894499,FBgn0000083,3,+,AnxB9,1
chr3R,16894560,16894741,FBgn0000083,4,+,AnxB9,1
chr3R,16896446,16896639,FBgn0000083,5,+,AnxB9,1
chrX,20067402,20067552,FBgn0000084,1,-,AnxB10,1
chrX,20066338,20067049,FBgn0000084,2,-,AnxB10,1
chrX,20066074,20066255,FBgn0000084,3,-,AnxB10,1
chrX,20065478,20065681,FBgn0000084,4,-,AnxB10,1
chrX,2587766,2587919,FBgn0000092,1,-,CG2650,1
chrX,2587189,2587681,FBgn0000092,2,-,CG2650,1
chrX,2586765,2587130,FBgn0000092,3,-,CG2650,1
chr3R,26035670,26035802,FBgn0000094,1,+,Anp,1
chr3R,26035865,26036011,FBgn0000094,2,+,Anp,1
chr2L,2161010,2161522,FBgn0000097,1,-,aop,1
chr2L,2159312,2160582,FBgn0000097,2,-,aop,1
chr2L,2158468,2159245,FBgn0000097,3,-,aop,1
chr2L,2156792,2158405,FBgn0000097,4,-,aop,1
chr2R,1613326,1614335,FBgn0000099,1,-,ap,1
chr2R,1605060,1605268,FBgn0000099,2,-,ap,1
chr2R,1604787,1605003,FBgn0000099,3,-,ap,1
chr2R,1604154,1604293,FBgn0000099,4,-,ap,1
chr2R,1596431,1596604,FBgn0000099,5,-,ap,1
chr2R,1596116,1596372,FBgn0000099,6,-,ap,1
chr2R,1595688,1595884,FBgn0000099,7,-,ap,1
chr2R,1594729,1595611,FBgn0000099,8,-,ap,1
chr3L,22068967,22069026,FBgn0000100,1,+,RpLP0,1
chr3L,22069135,22069236,FBgn0000100,2,+,RpLP0,1
chr3L,22069348,22069441,FBgn0000100,3,+,RpLP0,1
chr3L,22069516,22070587,FBgn0000100,4,+,RpLP0,1
chrX,424503,424567,FBgn0000108,1,+,Appl,1
chrX,425660,425909,FBgn0000108,2,+,Appl,1
chrX,454639,454809,FBgn0000108,3,+,Appl,1
chrX,464895,465033,FBgn0000108,4,+,Appl,1
chrX,465164,465385,FBgn0000108,5,+,Appl,1
chrX,465460,466103,FBgn0000108,6,+,Appl,1
chrX,466170,466322,FBgn0000108,7,+,Appl,1
chrX,467898,468035,FBgn0000108,8,+,Appl,1
chrX,468229,468911,FBgn0000108,9,+,Appl,1
chrX,468975,469122,FBgn0000108,10,+,Appl,1
chrX,469201,469383,FBgn0000108,11,+,Appl,1
chrX,469504,472163,FBgn0000108,12,+,Appl,1
chr3L,1884691,1884885,FBgn0000109,1,-,Aprt,1
chr3L,1884323,1884560,FBgn0000109,2,-,Aprt,1
chr3L,1883892,1884248,FBgn0000109,3,-,Aprt,1
chr2L,12175004,12175420,FBgn0000114,1,+,bru1,1
chr2L,12271591,12272084,FBgn0000114,2,+,bru1,1
chr2L,12278837,12278919,FBgn0000114,3,+,bru1,1
chr2L,12282514,12282562,FBgn0000114,4,+,bru1,1
chr2L,12298568,12298749,FBgn0000114,5,+,bru1,1
chr2L,12298814,12299111,FBgn0000114,6,+,bru1,1
chr2L,12299188,12299394,FBgn0000114,7,+,bru1,1
chr2L,12304446,12304595,FBgn0000114,8,+,bru1,1
chr2L,12310682,12312311,FBgn0000114,9,+,bru1,1
chr3L,15976235,15976380,FBgn0000115,1,+,Arl1,1
chr3L,15976478,15976694,FBgn0000115,2,+,Arl1,1
chr3L,15976963,15977462,FBgn0000115,3,+,Arl1,1
chr3L,9058808,9059127,FBgn0000116,1,-,Argk,1
chr3L,9057564,9057617,FBgn0000116,2,-,Argk,1
chr3L,9041980,9043459,FBgn0000116,3,-,Argk,1
chrX,1794077,1794222,FBgn0000117,1,-,arm,1
chrX,1793013,1793072,FBgn0000117,2,-,arm,1
chrX,1789147,1790786,FBgn0000117,3,-,arm,1
chrX,1788874,1789074,FBgn0000117,4,-,arm,1
chrX,1788541,1788813,FBgn0000117,5,-,arm,1
chrX,1787436,1787532,FBgn0000117,6,-,arm,1
chrX,1785434,1786152,FBgn0000117,7,-,arm,1
chr2R,9370660,9370723,FBgn0000119,1,-,arr,1
chr2R,9369281,9369589,FBgn0000119,2,-,arr,1
chr2R,9344041,9347030,FBgn0000119,3,-,arr,1
chr2R,9343821,9343978,FBgn0000119,4,-,arr,1
chr2R,9343488,9343757,FBgn0000119,5,-,arr,1
chr2R,9342801,9343425,FBgn0000119,6,-,arr,1
chr2R,9341159,9342741,FBgn0000119,7,-,arr,1
chr2L,18078269,18078496,FBgn0000120,1,+,Arr1,1
chr2L,18078916,18079723,FBgn0000120,2,+,Arr1,1
chr2L,18079957,18080086,FBgn0000120,3,+,Arr1,1
chr2L,18080147,18081187,FBgn0000120,4,+,Arr1,1
chr3L,8641070,8642036,FBgn0000121,1,-,Arr2,1
chr3L,8640808,8641002,FBgn0000121,2,-,Arr2,1
chr3L,8640361,8640745,FBgn0000121,3,-,Arr2,1
chrX,354533,357209,FBgn0000137,1,+,ase,1
chr3R,20475810,20476066,FBgn0000139,1,+,ash2,1
chr3R,20476127,20476311,FBgn0000139,2,+,ash2,1
chr3R,20476372,20476716,FBgn0000139,3,+,ash2,1
chr3R,20477583,20477963,FBgn0000139,4,+,ash2,1
chr3R,20478032,20478312,FBgn0000139,5,+,ash2,1
chr3R,20478504,20478761,FBgn0000139,6,+,ash2,1
chr3R,20478820,20479098,FBgn0000139,7,+,ash2,1
chr3R,20579625,20579777,FBgn0000140,1,+,asp,1
chr3R,20579850,20580026,FBgn0000140,2,+,asp,1
chr3R,20580079,20580291,FBgn0000140,3,+,asp,1
chr3R,20580371,20585252,FBgn0000140,4,+,asp,1
chr3R,20585313,20585614,FBgn0000140,5,+,asp,1
chr3R,20585679,20586235,FBgn0000140,6,+,asp,1
chr2L,11001270,11001489,FBgn0000146,1,-,aub,1
chr2L,11000786,11000918,FBgn0000146,2,-,aub,1
chr2L,11000165,11000658,FBgn0000146,3,-,aub,1
chr2L,10999914,11000106,FBgn0000146,4,-,aub,1
chr2L,10999727,10999854,FBgn0000146,5,-,aub,1
chr2L,10999518,10999672,FBgn0000146,6,-,aub,1
chr2L,10999061,10999450,FBgn0000146,7,-,aub,1
chr2L,10998897,10999007,FBgn0000146,8,-,aub,1
chr2L,10997819,10998832,FBgn0000146,9,-,aub,1
chr3R,7788852,7789127,FBgn0000147,1,+,aurA,1
chr3R,7789192,7789492,FBgn0000147,2,+,aurA,1
chr3R,7789555,7790550,FBgn0000147,3,+,aurA,1
chr3R,27571492,27571706,FBgn0000150,1,-,awd,1
chr3R,27570894,27571312,FBgn0000150,2,-,awd,1
chrX,16577455,16577928,FBgn0000152,1,-,Axs,1
chrX,16577242,16577390,FBgn0000152,2,-,Axs,1
chrX,16577060,16577166,FBgn0000152,3,-,Axs,1
chrX,16576234,16576504,FBgn0000152,4,-,Axs,1
chrX,16575943,16576155,FBgn0000152,5,-,Axs,1
chrX,16574634,16575604,FBgn0000152,6,-,Axs,1
chrX,16574397,16574573,FBgn0000152,7,-,Axs,1
chrX,16574122,16574334,FBgn0000152,8,-,Axs,1
chr2L,13821248,13822148,FBgn0000153,1,+,b,1
chr2L,13822682,13823049,FBgn0000153,2,+,b,1
chr2L,13823114,13823979,FBgn0000153,3,+,b,1
chr2R,20702353,20703090,FBgn0000157,1,+,Dll,1
chr2R,20705117,20705292,FBgn0000157,2,+,Dll,1
chr2R,20707337,20707530,FBgn0000157,3,+,Dll,1
chr2R,20720932,20721253,FBgn0000157,4,+,Dll,1
chr2R,20721320,20722125,FBgn0000157,5,+,Dll,1
chr3R,21070211,21070884,FBgn0000158,1,-,bam,1
chr3R,21069776,21070146,FBgn0000158,2,-,bam,1
chr3R,21068761,21069714,FBgn0000158,3,-,bam,1
chrX,17054062,17055224,FBgn0000163,1,+,baz,1
chrX,17083025,17084719,FBgn0000163,2,+,baz,1
chrX,17084788,17085410,FBgn0000163,3,+,baz,1
chrX,17085472,17085753,FBgn0000163,4,+,baz,1
chrX,17085821,17086494,FBgn0000163,5,+,baz,1
chrX,17086564,17087068,FBgn0000163,6,+,baz,1
chrX,17087932,17089350,FBgn0000163,7,+,baz,1
chr3R,2584829,2585199,FBgn0000166,1,-,bcd,1
chr3R,2581564,2582682,FBgn0000166,2,-,bcd,1
chrX,13890690,13890788,FBgn0000173,1,+,ben,1
chrX,13892128,13893841,FBgn0000173,2,+,ben,1
chrX,4306889,4306953,FBgn0000179,1,+,bi,1
chrX,4322231,4323531,FBgn0000179,2,+,bi,1
chrX,4344721,4344834,FBgn0000179,3,+,bi,1
chrX,4344910,4345072,FBgn0000179,4,+,bi,1
chrX,4372181,4372327,FBgn0000179,5,+,bi,1
chrX,4372387,4372463,FBgn0000179,6,+,bi,1
chrX,4376173,4376417,FBgn0000179,7,+,bi,1
chrX,4376550,4378485,FBgn0000179,8,+,bi,1
chr2L,9984634,9985146,FBgn0000180,1,+,bib,1
chr2L,9986789,9986955,FBgn0000180,2,+,bib,1
chr2L,9987601,9987727,FBgn0000180,3,+,bib,1
chr2L,9992255,9992462,FBgn0000180,4,+,bib,1
chr2L,9993267,9995538,FBgn0000180,5,+,bib,1
chr2R,8757742,8757835,FBgn0000181,1,+,bic,1
chr2R,8757908,8759299,FBgn0000181,2,+,bic,1
chr2L,16042032,16042527,FBgn0000182,1,+,BicC,1
chr2L,16043075,16043245,FBgn0000182,2,+,BicC,1
chr2L,16043824,16044361,FBgn0000182,3,+,BicC,1
chr2L,16044423,16044472,FBgn0000182,4,+,BicC,1
chr2L,16044788,16044857,FBgn0000182,5,+,BicC,1
chr2L,16044921,16045000,FBgn0000182,6,+,BicC,1
chr2L,16045066,16045392,FBgn0000182,7,+,BicC,1
chr2L,16045841,16045966,FBgn0000182,8,+,BicC,1
chr2L,16046027,16046408,FBgn0000182,9,+,BicC,1
chr2L,16046602,16047729,FBgn0000182,10,+,BicC,1
chr2L,16047958,16048626,FBgn0000182,11,+,BicC,1
chr2L,17472097,17473215,FBgn0000183,1,-,BicD,1
chr2L,17464190,17464555,FBgn0000183,2,-,BicD,1
chr2L,17463988,17464125,FBgn0000183,3,-,BicD,1
chr2L,17463032,17463882,FBgn0000183,4,-,BicD,1
chr2L,17462738,17462955,FBgn0000183,5,-,BicD,1
chr2L,17462429,17462683,FBgn0000183,6,-,BicD,1
chr2L,17462168,17462342,FBgn0000183,7,-,BicD,1
chr2L,17459605,17461843,FBgn0000183,8,-,BicD,1
chr3R,21787716,21787765,FBgn0000206,1,+,boss,1
chr3R,21789164,21789337,FBgn0000206,2,+,boss,1
chr3R,21789641,21790111,FBgn0000206,3,+,boss,1
chr3R,21790171,21790620,FBgn0000206,4,+,boss,1
chr3R,21790742,21792201,FBgn0000206,5,+,boss,1
chr3R,21792263,21792670,FBgn0000206,6,+,boss,1
chrX,1469165,1469754,FBgn0000210,1,+,br,1
chrX,1518171,1518740,FBgn0000210,2,+,br,1
chrX,1529865,1530053,FBgn0000210,3,+,br,1
chrX,1530129,1530582,FBgn0000210,4,+,br,1
chrX,1530672,1530945,FBgn0000210,5,+,br,1
chrX,1531033,1531172,FBgn0000210,6,+,br,1
chrX,1531317,1531367,FBgn0000210,7,+,br,1
chrX,1536918,1539195,FBgn0000210,8,+,br,1
chr3L,15975903,15975969,FBgn0000212,1,-,brm,1
chr3L,15975368,15975668,FBgn0000212,2,-,brm,1
chr3L,15975223,15975299,FBgn0000212,3,-,brm,1
chr3L,15968326,15968349,FBgn0000212,4,-,brm,1
chr3L,15965259,15968196,FBgn0000212,5,-,brm,1
chr3L,15964394,15965185,FBgn0000212,6,-,brm,1
chr3L,15963182,15964333,FBgn0000212,7,-,brm,1
chr3L,14965767,14966298,FBgn0000216,1,+,Brd,1
chrX,3998377,3999824,FBgn0000221,1,+,brn,1
chr2L,4684371,4684459,FBgn0000227,1,-,Bsg25A,1
chr2L,4683050,4684312,FBgn0000227,2,-,Bsg25A,1
chr2L,5277934,5278558,FBgn0000228,1,-,Bsg25D,1
chr2L,5276936,5277180,FBgn0000228,2,-,Bsg25D,1
chr2L,5276512,5276731,FBgn0000228,3,-,Bsg25D,1
chr2L,5276288,5276368,FBgn0000228,4,-,Bsg25D,1
chr2L,5274019,5275780,FBgn0000228,5,-,Bsg25D,1
chr2L,5273161,5273590,FBgn0000228,6,-,Bsg25D,1
chr2L,5272986,5273097,FBgn0000228,7,-,Bsg25D,1
chr2L,5271728,5272928,FBgn0000228,8,-,Bsg25D,1
chr2L,10249095,10249742,FBgn0000229,1,-,bsk,1
chr2L,10248785,10248914,FBgn0000229,2,-,bsk,1
chr2L,10248525,10248722,FBgn0000229,3,-,bsk,1
chr2L,10248197,10248461,FBgn0000229,4,-,bsk,1
chr2L,10247852,10248135,FBgn0000229,5,-,bsk,1
chr2L,10247502,10247773,FBgn0000229,6,-,bsk,1
chrX,9588221,9589440,FBgn0000233,1,+,btd,1
chrX,9589880,9591606,FBgn0000233,2,+,btd,1
chr2L,21179330,21179697,FBgn0000239,1,-,bur,1
chr2L,21177571,21177678,FBgn0000239,2,-,bur,1
chr2L,21177205,21177509,FBgn0000239,3,-,bur,1
chr2L,21176671,21176971,FBgn0000239,4,-,bur,1
chr2L,21176509,21176605,FBgn0000239,5,-,bur,1
chr2L,21176007,21176376,FBgn0000239,6,-,bur,1
chr2L,21175741,21175933,FBgn0000239,7,-,bur,1
chr2L,21175280,21175681,FBgn0000239,8,-,bur,1
chr2L,21175033,21175224,FBgn0000239,9,-,bur,1
chr2L,21174383,21174975,FBgn0000239,10,-,bur,1
chr2R,19425608,19426016,FBgn0000241,1,-,bw,1
chr2R,19425287,19425519,FBgn0000241,2,-,bw,1
chr2R,19424672,19425230,FBgn0000241,3,-,bw,1
chr2R,19417115,19417149,FBgn0000241,4,-,bw,1
chr2R,19416862,19417056,FBgn0000241,5,-,bw,1
chr2R,19416689,19416794,FBgn0000241,6,-,bw,1
chr2R,19416532,19416633,FBgn0000241,7,-,bw,1
chr2R,19416023,19416479,FBgn0000241,8,-,bw,1
chr2R,19415328,19415963,FBgn0000241,9,-,bw,1
chrX,18428696,18429457,FBgn0000242,1,+,NA,1
chrX,18460729,18461171,FBgn0000242,2,+,NA,1
chrX,18461544,18461669,FBgn0000242,3,+,NA,1
chrX,18464597,18465759,FBgn0000242,4,+,NA,1
chr3R,5356462,5358734,FBgn0000244,1,-,by,1
chr3R,5353960,5354680,FBgn0000244,2,-,by,1
chr3R,11618265,11618335,FBgn0000246,1,-,c(3)G,1
chr3R,11617656,11618194,FBgn0000246,2,-,c(3)G,1
chr3R,11617378,11617600,FBgn0000246,3,-,c(3)G,1
chr3R,11617124,11617306,FBgn0000246,4,-,c(3)G,1
chr3R,11616678,11617070,FBgn0000246,5,-,c(3)G,1
chr3R,11616102,11616614,FBgn0000246,6,-,c(3)G,1
chr3R,11615962,11616036,FBgn0000246,7,-,c(3)G,1
chr3R,11615670,11615906,FBgn0000246,8,-,c(3)G,1
chr3R,11615195,11615611,FBgn0000246,9,-,c(3)G,1
chr3R,25632970,25633324,FBgn0000247,1,+,ca,1
chr3R,25633527,25634128,FBgn0000247,2,+,ca,1
chr3R,25634191,25634728,FBgn0000247,3,+,ca,1
chr3R,25635011,25635543,FBgn0000247,4,+,ca,1
chr3R,25635615,25635925,FBgn0000247,5,+,ca,1
chr3R,25635988,25636530,FBgn0000247,6,+,ca,1
chr3R,25636586,25636889,FBgn0000247,7,+,ca,1
chr3R,25636949,25637176,FBgn0000247,8,+,ca,1
chr3R,25637237,25637369,FBgn0000247,9,+,ca,1
chr3R,25637430,25637545,FBgn0000247,10,+,ca,1
chr3R,25637606,25637775,FBgn0000247,11,+,ca,1
chr3R,25637829,25637910,FBgn0000247,12,+,ca,1
chr3R,25637978,25638211,FBgn0000247,13,+,ca,1
chr3R,25638268,25638720,FBgn0000247,14,+,ca,1
chr3R,25638783,25640782,FBgn0000247,15,+,ca,1
chr2L,16326021,16326101,FBgn0000250,1,-,cact,1
chr2L,16324333,16325054,FBgn0000250,2,-,cact,1
chr2L,16323340,16323517,FBgn0000250,3,-,cact,1
chr2L,16322960,16323170,FBgn0000250,4,-,cact,1
chr2L,16314770,16314858,FBgn0000250,5,-,cact,1
chr2L,16314451,16314708,FBgn0000250,6,-,cact,1
chr2L,16313029,16313450,FBgn0000250,7,-,cact,1
chr2L,20770736,20771909,FBgn0000251,1,+,cad,1
chr2L,20781799,20783135,FBgn0000251,2,+,cad,1
chr2R,8146903,8146963,FBgn0000253,1,+,Cam,1
chr2R,8147545,8147693,FBgn0000253,2,+,Cam,1
chr2R,8152248,8152422,FBgn0000253,3,+,Cam,1
chr2R,8156698,8156940,FBgn0000253,4,+,Cam,1
chr2R,8161271,8166314,FBgn0000253,5,+,Cam,1
chr2L,3902595,3902860,FBgn0000256,1,-,capu,1
chr2L,3893262,3893604,FBgn0000256,2,-,capu,1
chr2L,3884036,3884518,FBgn0000256,3,-,capu,1
chr2L,3878895,3879067,FBgn0000256,4,-,capu,1
chr2L,3874450,3875302,FBgn0000256,5,-,capu,1
chr2L,3873385,3874395,FBgn0000256,6,-,capu,1
chr2L,3873019,3873322,FBgn0000256,7,-,capu,1
chr2L,3872658,3872947,FBgn0000256,8,-,capu,1
chrX,19460052,19460159,FBgn0000257,1,+,car,1
chrX,19460248,19461817,FBgn0000257,2,+,car,1
chrX,19461940,19463434,FBgn0000257,3,+,car,1
chrX,11686912,11686947,FBgn0000259,1,+,CkIIbeta,1
chrX,11687476,11687551,FBgn0000259,2,+,CkIIbeta,1
chrX,11687831,11687933,FBgn0000259,3,+,CkIIbeta,1
chrX,11688007,11688198,FBgn0000259,4,+,CkIIbeta,1
chrX,11688852,11689041,FBgn0000259,5,+,CkIIbeta,1
chrX,11689138,11689219,FBgn0000259,6,+,CkIIbeta,1
chrX,11689634,11689920,FBgn0000259,7,+,CkIIbeta,1
